Matrix_iterations,Hidden,Lambda,Start time,End time,Execution time,train_accuracy,validation_accuracy,test_accuracy
150,28,35,2:54:12,2:54:23,10.31,13.85%,13.93%,13.60%
150,28,40,2:54:23,2:54:33,10.38,22.21%,21.70%,22.37%
150,28,45,2:54:33,2:56:46,132.64,94.80%,94.17%,94.82%
150,28,50,2:56:46,2:56:58,12.48,22.36%,21.07%,22.56%
150,28,55,2:56:58,2:59:11,133.03,94.60%,94.06%,94.42%
150,28,60,2:59:11,3:01:39,147.6,94.19%,93.51%,94.10%
150,32,0,3:01:39,3:04:17,158.58,97.86%,95.86%,96.09%
150,32,5,3:04:17,3:06:44,147.04,97.69%,95.90%,96.13%
150,32,10,3:06:44,3:06:55,10.92,13.74%,13.30%,14.10%
150,32,15,3:06:55,3:09:19,143.62,97.14%,95.89%,96.14%
150,32,20,3:09:19,3:11:39,139.67,96.51%,95.52%,95.82%
150,32,25,3:11:39,3:14:02,143.28,96.11%,95.45%,95.62%
150,32,30,3:14:02,3:14:13,10.75,15.14%,14.87%,14.96%
150,32,35,3:14:13,3:16:35,142.69,95.69%,94.82%,95.36%
150,32,40,3:16:35,3:16:46,10.86,12.38%,12.58%,12.24%
150,32,45,3:16:46,3:19:05,138.8,95.11%,94.55%,94.96%
150,32,50,3:19:05,3:19:16,10.68,19.40%,18.87%,19.97%
150,32,55,3:19:16,3:21:38,142.32,94.69%,93.97%,94.54%
150,32,60,3:21:38,3:24:03,144.66,94.48%,93.77%,94.33%
150,36,0,3:24:03,3:27:11,188.1,97.85%,95.92%,96.02%
150,36,5,3:27:11,3:29:45,154.18,98.04%,96.10%,96.70%
150,36,10,3:29:45,3:32:20,154.94,97.58%,95.94%,96.35%
150,36,15,3:32:20,3:35:01,161.66,97.11%,96.01%,96.34%
150,36,20,3:35:01,3:37:35,154,96.62%,95.47%,96.02%
150,36,25,3:37:36,3:40:06,150.11,96.30%,95.27%,96.03%
150,36,30,3:40:06,3:42:40,154.59,96.03%,95.13%,95.66%
150,36,35,3:42:40,3:45:15,154.48,95.63%,94.92%,95.50%
150,36,40,3:45:15,3:47:46,150.91,95.40%,94.69%,95.10%
150,36,45,3:47:46,3:50:21,155.67,95.27%,94.64%,94.96%
150,36,50,3:50:21,3:52:58,156.35,95.06%,94.35%,94.98%
150,36,55,3:52:58,3:53:09,11.52,16.59%,15.12%,16.96%
150,36,60,3:53:09,3:53:21,11.39,29.17%,27.02%,28.50%
150,40,0,3:53:21,3:56:27,186.84,98.53%,96.63%,96.46%
150,40,5,3:56:27,3:59:10,163.03,98.22%,96.33%,96.66%
150,40,10,3:59:10,4:01:51,160.7,97.70%,96.34%,96.59%
150,40,15,4:01:51,4:04:32,160.82,97.35%,96.05%,96.45%
150,40,20,4:04:32,4:07:12,159.63,96.70%,95.76%,96.21%
150,40,25,4:07:12,4:09:51,159.65,96.54%,95.69%,96.13%
150,40,30,4:09:51,4:12:34,163.16,96.15%,95.30%,96.00%
150,40,35,4:12:34,4:15:15,160.18,95.94%,95.22%,95.77%
150,40,40,4:15:15,4:17:53,158.06,95.53%,94.85%,95.42%
150,40,45,4:17:53,4:20:33,160.84,95.21%,94.56%,95.09%
150,40,50,4:20:33,4:23:15,161.13,95.10%,94.49%,95.16%
150,40,55,4:23:15,4:25:56,161.92,94.90%,94.33%,94.77%
150,40,60,4:25:56,4:28:37,160.24,94.76%,94.10%,94.74%
150,44,0,4:28:37,4:31:49,192.56,98.46%,96.04%,96.49%
150,44,5,4:31:49,4:34:49,179.21,98.09%,96.53%,96.71%
150,44,10,4:34:49,4:37:52,183.4,97.66%,96.30%,96.61%
150,44,15,4:37:52,4:40:45,172.61,97.50%,96.17%,96.58%
150,44,20,4:40:45,4:43:32,167.94,97.07%,96.09%,96.53%
150,44,25,4:43:32,4:46:18,165.73,96.77%,95.94%,96.36%
150,44,30,4:46:18,4:49:13,174.76,96.31%,95.57%,96.03%
150,44,35,4:49:13,4:52:16,183.37,95.94%,95.18%,95.72%
150,44,40,4:52:16,4:55:03,166.75,95.75%,95.22%,95.51%
150,44,45,4:55:03,4:57:52,169.1,95.41%,94.71%,95.48%
150,44,50,4:57:52,5:00:40,167.6,95.19%,94.63%,95.08%
150,44,55,5:00:40,5:03:27,167.43,95.00%,94.40%,94.73%
150,44,60,5:03:27,5:06:15,167.33,94.77%,94.15%,94.60%
150,48,0,5:06:15,5:09:40,205.84,98.78%,96.52%,97.00%
150,48,5,5:09:40,5:12:48,187.54,98.03%,96.73%,96.85%
150,48,10,5:12:48,5:15:44,176.32,98.01%,96.51%,96.97%
